RawFile	Plate	Position	RunOrder	SampleNo	Condition
LFQ intensity 413_S322-1015624721-P7-F9	P07	F09	428	1015624721	3
LFQ intensity 413_S322-1014402772-P7-F10	P07	F10	429	1014402772	3
LFQ intensity 413_S322-1015627605-P7-F11	P07	F11	430	1015627605	3
LFQ intensity 413_S322-1015914211-P7-F12	P07	F12	431	1015914211	Pool1
LFQ intensity 413_S322-1014402101-P7-G1	P07	G01	432	1014402101	2
LFQ intensity 413_S322-1015908434-P7-G2	P07	G02	433	1015908434	4
LFQ intensity 413_S322-1015907952-P7-G3	P07	G03	434	1015907952	1
LFQ intensity 413_S322-1015628579-P7-G4	P07	G04	435	1015628579	2
LFQ intensity 413_S322-1015623502-P7-G5	P07	G05	436	1015623502	1
LFQ intensity 413_S322-1014402051-P7-G6	P07	G06	437	1014402051	3
LFQ intensity 413_S322-1014402740-P7-G7	P07	G07	438	1014402740	3
LFQ intensity 413_S322-1015927093-P7-G8	P07	G08	439	1015927093	3
LFQ intensity 413_S322-1014397949-P7-G9	P07	G09	440	1014397949	1
LFQ intensity 413_S322-1015629265-P7-G10	P07	G10	441	1015629265	2
LFQ intensity 413_S322-1015628643-P7-G11	P07	G11	442	1015628643	3
LFQ intensity 413_S322-1015628546-P7-G12	P07	G12	443	1015628546	2
LFQ intensity 413_S322-1015629258-P7-H2	P07	H02	444	1015629258	3
LFQ intensity 413_S322-1015923993-P7-H3	P07	H03	445	1015923993	3
LFQ intensity 413_S322-1015903240-P7-H4	P07	H04	446	1015903240	3
LFQ intensity 413_S322-1015634788-P7-H6	P07	H06	447	1015634788	3
LFQ intensity 413_S322-1014395992-P7-H7	P07	H07	448	1014395992	1
LFQ intensity 413_S322-1015623390-P7-H8	P07	H08	449	1015623390	1
LFQ intensity 413_S322-1015907939-P7-H10	P07	H10	450	1015907939	3
LFQ intensity 413_S322-1015628582-P7-H11	P07	H11	451	1015628582	2
LFQ intensity 413_S322-1015640338-P7-H12	P07	H12	452	1015640338	Pool2
LFQ intensity 413_S322-1015922785-P8-A1	P08	A01	453	1015922785	3
LFQ intensity 418_S322-1014402045-P8-B10	P08	B10	454	1014402045	3
LFQ intensity 418_S322-1015903198-P8-B11	P08	B11	455	1015903198	2
LFQ intensity 418_S322-1015638527-P8-B12	P08	B12	456	1015638527	Pool1
LFQ intensity 418_S322-1014398008-P8-C1	P08	C01	457	1014398008	1
LFQ intensity 418_S322-1015627615-P8-C2	P08	C02	458	1015627615	4
LFQ intensity 418_S322-1015908731-P8-C4	P08	C04	459	1015908731	3
LFQ intensity 418_S322-1014402095-P8-C5	P08	C05	460	1014402095	1
LFQ intensity 418_S322-1015908400-P8-C6	P08	C06	461	1015908400	1
LFQ intensity 418_S322-1015634776-P8-C7	P08	C07	462	1015634776	1
LFQ intensity 418_S322-1015631633-P8-C8	P08	C08	463	1015631633	2
LFQ intensity 418_S322-1015908386-P8-C9	P08	C09	464	1015908386	1
LFQ intensity 418_S322-1014579511-P8-C10	P08	C10	465	1014579511	2
LFQ intensity 418_S322-1015622340-P8-C11	P08	C11	466	1015622340	3
LFQ intensity 418_S322-1015624767-P8-C12	P08	C12	467	1015624767	2
LFQ intensity 418_S322-1015623392-P8-D1	P08	D01	468	1015623392	3
LFQ intensity 418_S322-1015634837-P8-D2	P08	D02	469	1015634837	3
LFQ intensity 418_S322-1015627614-P8-D3	P08	D03	470	1015627614	3
LFQ intensity 418_S322-1015635730-P8-D4	P08	D04	471	1015635730	3
LFQ intensity 418_S322-1015635756-P8-D6	P08	D06	472	1015635756	1
LFQ intensity 418_S322-1015629229-P8-D7	P08	D07	473	1015629229	3
LFQ intensity 418_S322-1015922870-P8-D8	P08	D08	474	1015922870	4
LFQ intensity 418_S322-1015629264-P8-D9	P08	D09	475	1015629264	1
LFQ intensity 418_S322-1015634835-P8-D11	P08	D11	476	1015634835	1
LFQ intensity 418_S322-1015640409-P8-D12	P08	D12	477	1015640409	Pool2
LFQ intensity 418_S322-1014402139-P8-E1	P08	E01	478	1014402139	2
LFQ intensity 418_S322-1015908404-P8-E2	P08	E02	479	1015908404	1
LFQ intensity 418_S322-1014402041-P8-E3	P08	E03	480	1014402041	2
LFQ intensity 418_S322-1015923984-P8-E4	P08	E04	481	1015923984	3
LFQ intensity 418_S322-1014397980-P8-E5	P08	E05	482	1014397980	2
LFQ intensity 418_S322-1015923848-P8-E6	P08	E06	483	1015923848	2
LFQ intensity 418_S322-1015908699-P8-E7	P08	E07	484	1015908699	1
LFQ intensity 418_S322-1015908718-P8-E8	P08	E08	485	1015908718	2
LFQ intensity 418_S322-1015910327-P8-E9	P08	E09	486	1015910327	3
LFQ intensity 418_S322-1014402376-P8-E10	P08	E10	487	1014402376	3
LFQ intensity 418_S322-1015907929-P8-E11	P08	E11	488	1015907929	1
LFQ intensity 418_S322-1015908675-P8-E12	P08	E12	489	1015908675	4
LFQ intensity 418_S322-1014397941-P8-F1	P08	F01	490	1014397941	2
LFQ intensity 418_S322-1014401693-P8-F2	P08	F02	491	1014401693	2
LFQ intensity 418_S322-1014402754-P8-F3	P08	F03	492	1014402754	2
LFQ intensity 418_S322-1015923941-P8-F5	P08	F05	493	1015923941	3
LFQ intensity 418_S322-1015923881-P8-F6	P08	F06	494	1015923881	2
LFQ intensity 418_S322-1015907993-P8-F7	P08	F07	495	1015907993	3
LFQ intensity 418_S322-1015627623-P8-F8	P08	F08	496	1015627623	1
LFQ intensity 418_S322-1015627609-P8-F9	P08	F09	497	1015627609	1
LFQ intensity 418_S322-1015922875-P8-F10	P08	F10	498	1015922875	1
LFQ intensity 418_S322-1014402758-P8-F11	P08	F11	499	1014402758	3
LFQ intensity 418_S322-1015914195-P8-F12	P08	F12	500	1015914195	Pool1
LFQ intensity 418_S322-1014398037-P8-G1	P08	G01	501	1014398037	3
LFQ intensity 418_S322-1015903207-P8-G2	P08	G02	502	1015903207	2
LFQ intensity 418_S322-1014401893-P8-G3	P08	G03	503	1014401893	3
LFQ intensity 418_S322-1015623275-P8-G4	P08	G04	504	1015623275	2
LFQ intensity 418_S322-1014402770-P8-G5	P08	G05	505	1014402770	1
LFQ intensity 418_S322-1014394999-P8-G6	P08	G06	506	1014394999	3
LFQ intensity 418_S322-1015629246-P8-G7	P08	G07	507	1015629246	2
LFQ intensity 418_S322-1015903226-P8-G8	P08	G08	508	1015903226	3
LFQ intensity 418_S322-1014398022-P8-G9	P08	G09	509	1014398022	2
LFQ intensity 418_S322-1015622358-P8-G10	P08	G10	510	1015622358	2
LFQ intensity 418_S322-1015922817-P8-G11	P08	G11	511	1015922817	1
LFQ intensity 418_S322-1014397906-P8-G12	P08	G12	512	1014397906	3
LFQ intensity 418_S322-1015908080-P8-H1	P08	H01	513	1015908080	1
LFQ intensity 418_S322-1015631551-P8-H2	P08	H02	514	1015631551	3
LFQ intensity 418_S322-1014402183-P8-H3	P08	H03	515	1014402183	2
LFQ intensity 418_S322-1015908074-P8-H4	P08	H04	516	1015908074	4
LFQ intensity 418_S322-1015922915-P8-H5	P08	H05	517	1015922915	1
LFQ intensity 418_S322-1014402048-P8-H6	P08	H06	518	1014402048	3
LFQ intensity 418_S322-1015908016-P8-H7	P08	H07	519	1015908016	3
LFQ intensity 418_S322-1014394975-P8-H8	P08	H08	520	1014394975	1
LFQ intensity 418_S322-1015622044-P8-H9	P08	H09	521	1015622044	2
LFQ intensity 418_S322-1015624699-P8-H10	P08	H10	522	1015624699	1
LFQ intensity 418_S322-1015907930-P8-H11	P08	H11	523	1015907930	2
LFQ intensity 418_S322-1015640417-P8-H12	P08	H12	524	1015640417	Pool2
LFQ intensity 420_S322-1015634775-P9-A1	P09	A01	525	1015634775	3
LFQ intensity 420_S322-1015622018-P9-A2	P09	A02	526	1015622018	1
LFQ intensity 420_S322-1014395080-P9-A3	P09	A03	527	1014395080	3
LFQ intensity 420_S322-1014579277-P9-A4	P09	A04	528	1014579277	2
LFQ intensity 420_S322-1015623421-P9-A5	P09	A05	529	1015623421	3
LFQ intensity 420_S322-1015903192-P9-A6	P09	A06	530	1015903192	2
LFQ intensity 420_S322-1015624726-P9-A7	P09	A07	531	1015624726	3
LFQ intensity 420_S322-1014397950-P9-A8	P09	A08	532	1014397950	2
LFQ intensity 420_S322-1015908707-P9-A9	P09	A09	533	1015908707	1
LFQ intensity 420_S322-1015903232-P9-A10	P09	A10	534	1015903232	3
LFQ intensity 420_S322-1014402203-P9-A11	P09	A11	535	1014402203	2
LFQ intensity 420_S322-1015907948-P9-A12	P09	A12	536	1015907948	1
LFQ intensity 420_S322-1015908706-P9-B1	P09	B01	537	1015908706	4
LFQ intensity 420_S322-1015627618-P9-B2	P09	B02	538	1015627618	1
LFQ intensity 420_S322-1015635804-P9-B3	P09	B03	539	1015635804	3
LFQ intensity 420_S322-1014402109-P9-B4	P09	B04	540	1014402109	1
LFQ intensity 420_S322-1014397895-P9-B5	P09	B05	541	1014397895	2
LFQ intensity 420_S322-1014402777-P9-B6	P09	B06	542	1014402777	1
LFQ intensity 420_S322-1015624743-P9-B8	P09	B08	543	1015624743	1
LFQ intensity 420_S322-1014394951-P9-B9	P09	B09	544	1014394951	2
LFQ intensity 420_S322-1014395104-P9-B10	P09	B10	545	1014395104	3
LFQ intensity 420_S322-1015622323-P9-B11	P09	B11	546	1015622323	1
LFQ intensity 420_S322-1015638524-P9-B12	P09	B12	547	1015638524	Pool1
LFQ intensity 420_S322-1014396475-P9-C1	P09	C01	548	1014396475	1
LFQ intensity 420_S322-1015623058-P9-C2	P09	C02	549	1015623058	1
LFQ intensity 420_S322-1015636116-P9-C3	P09	C03	550	1015636116	2
LFQ intensity 420_S322-1015908403-P9-C4	P09	C04	551	1015908403	4
LFQ intensity 420_S322-1015908661-P9-C7	P09	C07	552	1015908661	1
LFQ intensity 420_S322-1015627591-P9-C8	P09	C08	553	1015627591	3
LFQ intensity 420_S322-1015634793-P9-C9	P09	C09	554	1015634793	3
LFQ intensity 420_S322-1014402180-P9-C10	P09	C10	555	1014402180	2
LFQ intensity 420_S322-1015624706-P9-C11	P09	C11	556	1015624706	2
LFQ intensity 420_S322-1015908704-P9-D1	P09	D01	557	1015908704	2
LFQ intensity 420_S322-1014395090-P9-D2	P09	D02	558	1014395090	1
LFQ intensity 420_S322-1015923970-P9-D3	P09	D03	559	1015923970	1
LFQ intensity 420_S322-1014401669-P9-D4	P09	D04	560	1014401669	2
LFQ intensity 420_S322-1015927123-P9-D5	P09	D05	561	1015927123	1
LFQ intensity 420_S322-1014579485-P9-D6	P09	D06	562	1014579485	2
LFQ intensity 420_S322-1014397936-P9-D7	P09	D07	563	1014397936	2
LFQ intensity 420_S322-1014401719-P9-D8	P09	D08	564	1014401719	3
LFQ intensity 420_S322-1015624702-P9-D9	P09	D09	565	1015624702	1
LFQ intensity 420_S322-1014394987-P9-D10	P09	D10	566	1014394987	3
LFQ intensity 420_S322-1015621868-P9-D11	P09	D11	567	1015621868	3
LFQ intensity 420_S322-1015640393-P9-D12	P09	D12	568	1015640393	Pool2
LFQ intensity 420_S322-1014394983-P9-E1	P09	E01	569	1014394983	2
LFQ intensity 420_S322-1015623464-P9-E2	P09	E02	570	1015623464	2
LFQ intensity 420_S322-1015621837-P9-E3	P09	E03	571	1015621837	3
LFQ intensity 420_S322-1015624701-P9-E4	P09	E04	572	1015624701	3
LFQ intensity 420_S322-1015907967-P9-E5	P09	E05	573	1015907967	2
LFQ intensity 420_S322-1014396916-P9-E6	P09	E06	574	1014396916	2
LFQ intensity 420_S322-1014394997-P9-E7	P09	E07	575	1014394997	1
LFQ intensity 420_S322-1014402732-P9-E8	P09	E08	576	1014402732	1
LFQ intensity 420_S322-1015622080-P9-E9	P09	E09	577	1015622080	1
LFQ intensity 420_S322-1015908013-P9-E10	P09	E10	578	1015908013	1
LFQ intensity 420_S322-1015908056-P9-E11	P09	E11	579	1015908056	4
LFQ intensity 420_S322-1015923825-P9-E12	P09	E12	580	1015923825	2
LFQ intensity 420_S322-1015628646-P9-F1	P09	F01	581	1015628646	3
LFQ intensity 420_S322-1015623298-P9-F2	P09	F02	582	1015623298	2
LFQ intensity 420_S322-1014579519-P9-F3	P09	F03	583	1014579519	3
LFQ intensity 420_S322-1015622069-P9-F4	P09	F04	584	1015622069	1
LFQ intensity 420_S322-1015923923-P9-F5	P09	F05	585	1015923923	1
LFQ intensity 420_S322-1015622324-P9-F6	P09	F06	586	1015622324	2
LFQ intensity 420_S322-1015908405-P9-F7	P09	F07	587	1015908405	2
LFQ intensity 420_S322-1015622006-P9-F8	P09	F08	588	1015622006	2
LFQ intensity 420_S322-1015635766-P9-F9	P09	F09	589	1015635766	3
LFQ intensity 420_S322-1015622070-P9-F10	P09	F10	590	1015622070	2
LFQ intensity 420_S322-1015638532-P9-F12	P09	F12	591	1015638532	Pool1
LFQ intensity 420_S322-1015923838-P9-G1	P09	G01	592	1015923838	4
LFQ intensity 420_S322-1015903184-P9-G2	P09	G02	593	1015903184	3
LFQ intensity 420_S322-1015923989-P9-G3	P09	G03	594	1015923989	3
