	0
LFQ intensity 317_S322-1015922780-P3-D6	2
LFQ intensity 521_S322-1015908377-P17-E7	3
LFQ intensity 317_S322-1014579582-P3-B8	3
LFQ intensity 413_S322-1014397014-P7-E3	1
LFQ intensity 518_S322-1014396873-P16-F3	2
LFQ intensity 624_S322-P10-E9-1014401975-reprep	2
LFQ intensity 502_S322-1015627594-P11-D8	1
LFQ intensity 505_S322-1014395999-P12-D7	2
LFQ intensity 525_S322-1015908726-P5-F5	2
LFQ intensity 526_S322-1014402723-P6-B5	2
LFQ intensity 317_S322-1014395165-P1-D6	2
LFQ intensity 413_S322-1015927093-P7-G8	3
LFQ intensity 418_S322-1015629246-P8-G7	2
LFQ intensity 515_S322-1015910344-P15-A9	3
LFQ intensity 428_S322-1015907914-P11-B11	2
LFQ intensity 418_S322-1015622340-P8-C11	3
LFQ intensity 317_S322-1015907908-P1-H8	2
LFQ intensity 317_S322-1015907999-P2-F10	3
LFQ intensity 317_S322-1014394980-P3-B3	3
LFQ intensity 317_S322-1014395892-P1-E2	3
LFQ intensity 317_S322-1015908105-P2-C6	1
LFQ intensity 424_S322-1015628667-P10-E10	2
LFQ intensity 521_S322-1014395907-P17-H1	3
LFQ intensity 521_S322-1015908657-P17-E5	1
LFQ intensity 521_S322-1015922847-P17-D1	1
LFQ intensity 413_S322-1014402742-P7-C12	2
LFQ intensity 511_S322-1015622063-P14-B8	1
LFQ intensity 521_S322-1014397946-P17-H2	2
LFQ intensity 317_S322-1015923851-P3-G8	2
LFQ intensity 511_S322-1014579498-P14-G10	3
LFQ intensity 525_S322-1015908082-P5-F8	3
LFQ intensity 502_S322-1015621828-P11-E5	3
LFQ intensity 502_S322-1015907988-P11-F3	1
LFQ intensity 526_S322-1015627635-P6-B1	4
LFQ intensity 511_S322-1014394938-P14-E7	2
LFQ intensity 521_S322-1015627600-P17-F9	2
LFQ intensity 317_S322-1015627922-P1-G3	3
LFQ intensity 317_S322-1015624695-P4-G8	3
LFQ intensity 317_S322-1015907958-P1-D7	3
LFQ intensity 511_S322-1014397819-P14-F9	2
LFQ intensity 511_S322-1015923927-P14-F10	1
LFQ intensity 515_S322-1015922927-P15-B6	1
LFQ intensity 521_S322-1015629213-P17-E8	1
LFQ intensity 317_S322-1015922892-P1-H6	1
LFQ intensity 424_S322-1015923963-P10-D5	1
LFQ intensity 525_S322-1015925002-P5-A8	3
LFQ intensity 515_S322-1015908023-P15-F6	1
LFQ intensity 526_S322-1014402745-P6-B10	2
LFQ intensity 317_S322-1015635740-P1-E8	1
LFQ intensity 612_S322-1015627579-P6-E2	3
LFQ intensity 317_S322-1015635794-P1-C11	1
LFQ intensity 317_S322-1014396958-P1-F8	2
LFQ intensity 518_S322-1014397444-P16-E4	1
LFQ intensity 317_S322-1015635742-P2-B4	3
LFQ intensity 508_S322-1015622296-P13-H6	3
LFQ intensity 502_S322-1015922881-P11-H6	3
LFQ intensity 515_S322-1015908370-P15-D6	4
LFQ intensity 525_S322-1015922830-P5-H2	2
LFQ intensity 317_S322-1015903245-P3-F8	2
LFQ intensity 420_S322-1014402777-P9-B6	1
LFQ intensity 612_S322-1015627639-P6-D1	2
LFQ intensity 525_S322-1015629239-P5-H11	1
LFQ intensity 317_S322-1015908049-P4-F10	1
LFQ intensity 317_S322-1014395078-P4-B1	1
LFQ intensity 515_S322-1014397911-P15-H6	2
LFQ intensity 413_S322-1015628582-P7-H11	2
LFQ intensity 413_S322-1015908422-P7-A5	4
LFQ intensity 515_S322-1014394986-P15-E5	2
LFQ intensity 418_S322-1015629229-P8-D7	3
LFQ intensity 505_S322-1015910788-P12-C5	3
LFQ intensity 317_S322-1014397984-P1-A4	1
LFQ intensity 518_S322-1015623370-P16-H10	1
LFQ intensity 518_S322-1015624828-P16-F6	3
LFQ intensity 418_S322-1015903226-P8-G8	3
LFQ intensity 505_S322-1015629225-P12-G3	2
LFQ intensity 616_S322-P3-C10-1015628660-reinject	1
LFQ intensity 521_S322-1014402733-P17-G3	2
LFQ intensity 418_S322-1015627609-P8-F9	1
LFQ intensity 508_S322-1015907990-P13-F3	1
LFQ intensity 413_S322-1015908701-P7-A6	3
LFQ intensity 612_S322-1015908727-P6-E3	3
LFQ intensity 502_S322-1015634833-P11-D2	3
LFQ intensity 511_S322-1014579263-P14-D3	3
LFQ intensity 511_S322-1015922841-P14-H6	2
LFQ intensity 612_S322-1014579472-P6-G4	1
LFQ intensity 526_S322-1015908714-P6-A7	2
LFQ intensity 413_S322-1015908434-P7-G2	4
LFQ intensity 521_S322-1015908391-P17-E2	3
LFQ intensity 418_S322-1015923881-P8-F6	2
LFQ intensity 420_S322-1014394951-P9-B9	2
LFQ intensity 317_S322-1015627588-P2-E12	4
LFQ intensity 508_S322-1015634808-P13-D7	2
LFQ intensity 525_S322-1015628748-P5-G7	1
LFQ intensity 521_S322-1015627631-P17-A3	3
LFQ intensity 624_S322-P16-A2-1015908724-reprep	4
LFQ intensity 418_S322-1015624699-P8-H10	1
LFQ intensity 525_S322-1015922883-P5-E3	1
LFQ intensity 502_S322-1015624704-P11-G1	3
LFQ intensity 518_S322-1015922775-P16-F10	1
LFQ intensity 317_S322-1014394979-P1-F1	2
LFQ intensity 420_S322-1014394987-P9-D10	3
LFQ intensity 502_S322-1015631449-P11-H4	2
LFQ intensity 511_S322-1015903190-P14-G5	3
LFQ intensity 505_S322-1014394993-P12-C7	3
LFQ intensity 612_S322-1015634770-P6-E10	1
LFQ intensity 518_S322-1015624736-P16-E12	3
LFQ intensity 508_S322-1015622305-P13-G1	2
LFQ intensity 413_S322-1014395998-P7-D1	1
LFQ intensity 317_S322-1015908685-P2-B8	2
LFQ intensity 428_S322-1015634831-P11-A1	1
LFQ intensity 526_S322-1015922894-P6-C11	3
LFQ intensity 521_S322-1025597543-P17-G8	-1
LFQ intensity 511_S322-1015922912-P14-B1	2
LFQ intensity 518_S322-1015631483-P16-H7	2
LFQ intensity 526_S322-1015922783-P6-C5	1
LFQ intensity 515_S322-1015631646-P15-G10	2
LFQ intensity 518_S322-1014398000-P16-D3	1
LFQ intensity 616_S322-P8-A7-1015922771-reinject	-1
LFQ intensity 624_S322-P8-A1-1015922785-reprep	-1
